97409553.025634 1.2021910895 1.1041796059 1.0591866370 -0.6385889331 -0.5744051847 -0.4804939990
97729939.827664 1.1675173966 1.0866488585 1.0304417558 -0.6258661672 -0.5520063757 -0.4730793136
98050326.629694 1.1308219286 1.0647335521 1.0015294995 -0.6099325857 -0.5306565197 -0.4648501626
98370713.431725 1.0934659423 1.0388910685 0.9724459444 -0.5918417345 -0.5107664579 -0.4553478223
98691100.233755 1.0565752942 1.0097818357 0.9430604353 -0.5726726214 -0.4924779599 -0.4442244844
99011487.035786 1.0214452588 0.9786397749 0.9135534043 -0.5536965968 -0.4758991688 -0.4314520490
99331873.837816 0.9885168554 0.9463895867 0.8836763628 -0.5357659325 -0.4606709197 -0.4170293977
99652260.639847 0.9582211885 0.9142522912 0.8534743484 -0.5196947293 -0.4464393812 -0.4012433379
99972647.441877 0.9309245542 0.8836897677 0.8233424890 -0.5061659524 -0.4328857060 -0.3847061923
100293034.243908 0.9063215194 0.8555905027 0.7933363055 -0.4953786499 -0.4194781455 -0.3679258559
100613421.045938 0.8842840680 0.8310761290 0.7640166424 -0.4874548985 -0.4059145678 -0.3517118668
100933807.847969 0.8645424723 0.8110181836 0.7360497130 -0.4822501587 -0.3919990808 -0.3369067644
101254194.649999 0.8466450679 0.7959096654 0.7099919572 -0.4793939558 -0.3775743390 -0.3242303796
101574581.452029 0.8303554488 0.7861780891 0.6867369796 -0.4784196756 -0.3627851864 -0.3144758876
101894968.254060 0.8154117345 0.7819030357 0.6670552324 -0.4787530711 -0.3478660032 -0.3082451948
102215355.056090 0.8016685093 0.7829600814 0.6517087959 -0.4798000710 -0.3331968901 -0.3060047567
102535741.858121 0.7891990307 0.7890088941 0.6414796305 -0.4809873605 -0.3193708812 -0.3080504451
102856128.660151 0.7781488130 0.7995500131 0.6369550118 -0.4818249010 -0.3069901578 -0.3144709111
103176515.462182 0.7688605081 0.8139477388 0.6386226146 -0.4819377116 -0.2967613967 -0.3251542008
103496902.264212 0.7618129909 0.8314718033 0.6467744306 -0.4811043821 -0.2893990013 -0.3397753154
103817289.066243 0.7575821565 0.8513926278 0.6615089883 -0.4792766344 -0.2855632063 -0.3578514603
104137675.868273 0.7568271060 0.8729639495 0.6826797839 -0.4765928403 -0.2858355991 -0.3787116962
104458062.670304 0.7602330960 0.8955789023 0.7099863136 -0.4733633220 -0.2906655818 -0.4016353113
104778449.472334 0.7684508290 0.9186473050 0.7428028512 -0.4700754520 -0.3003129099 -0.4257334365
105098836.274365 0.7820520131 0.9418001983 0.7803879497 -0.4673401935 -0.3148375285 -0.4501691848
105419223.076395 0.8015073210 0.9648659660 0.8218949322 -0.4658611674 -0.3341060062 -0.4741649830
105739609.878425 0.8269714583 0.9877253872 0.8661106393 -0.4663873103 -0.3576274451 -0.4968943265
106059996.680456 0.8585338850 1.0106231218 0.9120904381 -0.4696419232 -0.3848461231 -0.5178549748
106380383.482486 0.8958870424 1.0338459080 0.9586506739 -0.4762643892 -0.4148812814 -0.5366039160
106700770.284517 0.9382779780 1.0577411657 1.0045367890 -0.4866908353 -0.4465817334 -0.5528851237
107021157.086547 0.9851266623 1.0829918481 1.0491126983 -0.5012597073 -0.4790332386 -0.5668510602
107341543.888578 1.0349757456 1.1099524172 1.0912938678 -0.5198785592 -0.5108427295 -0.5786731347
107661930.690608 1.0862994766 1.1389872911 1.1304352367 -0.5421603807 -0.5408049349 -0.5888153625
107982317.492639 1.1379179259 1.1706026911 1.1664884870 -0.5676479597 -0.5681116517 -0.5979847860
108302704.294669 1.1876398657 1.2045132010 1.1989765745 -0.5951409832 -0.5916424702 -0.6068065101
108623091.096700 1.2339093720 1.2404758408 1.2280902226 -0.6234581783 -0.6108907915 -0.6160191854
108943477.898730 1.2753100157 1.2779533614 1.2541807530 -0.6512710950 -0.6256350950 -0.6262803274
109263864.700760 1.3102493345 1.3156659100 1.2774384330 -0.6768872930 -0.6358406853 -0.6379549891
109584251.502791 1.3378967335 1.3523904343 1.2983370901 -0.6989427537 -0.6419424459 -0.6512438129
109904638.304821 1.3576298707 1.3864661135 1.3171486613 -0.7161130147 -0.6445749402 -0.6659683480
110225025.106852 1.3692667325 1.4160440494 1.3339545364 -0.7273667367 -0.6445675957 -0.6815644971
110545411.908882 1.3731289879 1.4394826902 1.3487148588 -0.7321505085 -0.6428228033 -0.6972426408
110865798.710913 1.3698337223 1.4551523530 1.3610343949 -0.7303058873 -0.6401925653 -0.7118731759
111186185.512943 1.3602872951 1.4618557608 1.3703317624 -0.7221648912 -0.6373636117 -0.7242466796
111506572.314974 1.3455170119 1.4588489139 1.3758486818 -0.7084511074 -0.6347745500 -0.7331649043
111826959.117004 1.3265784779 1.4459317576 1.3767493796 -0.6902073939 -0.6325810086 -0.7375758694
112147345.919035 1.3043923447 1.4234256544 1.3722520693 -0.6686080779 -0.6306579192 -0.7367177357
112467732.721065 1.2798144576 1.3922531473 1.3617782337 -0.6449522391 -0.6286704043 -0.7302038252
112788119.523095 1.2533665798 1.3535515317 1.3449763778 -0.6203022752 -0.6261437981 -0.7180154393
113108506.325126 1.2254971715 1.3088120011 1.3218552079 -0.5956316271 -0.6225863403 -0.7005117760
113428893.127156 1.1965953279 1.2597429232 1.2928449238 -0.5717329708 -0.6175913450 -0.6784079224
113749279.929187 1.1667727731 1.2076448341 1.2584493263 -0.5489933041 -0.6108539197 -0.6524366496
114069666.731217 1.1364130096 1.1541521524 1.2196749649 -0.5278295894 -0.6022935373 -0.6236252033
114390053.533248 1.1057999252 1.1004725873 1.1775010851 -0.5084123863 -0.5919709966 -0.5928702597
114710440.335278 1.0751655480 1.0474324222 1.1327546685 -0.4907896739 -0.5800254019 -0.5608597626
115030827.137309 1.0451442722 0.9963035401 1.0867276076 -0.4751943888 -0.5668085410 -0.5285357235
115351213.939339 1.0159925659 0.9475485682 1.0400263606 -0.4616471032 -0.5525298705 -0.4963088498
115671600.741370 0.9880509645 0.9017429492 0.9932766056 -0.4502619436 -0.5373942588 -0.4646047382
115991987.543400 0.9618863130 0.8598846987 0.9475021883 -0.4412581437 -0.5217147935 -0.4341366083
116312374.345430 0.9374514309 0.8221095052 0.9027662977 -0.4346337454 -0.5054379150 -0.4050143000
116632761.147461 0.9148943159 0.7890367747 0.8596230348 -0.4304473318 -0.4886223592 -0.3777269555
116953147.949491 0.8942514642 0.7612285878 0.8186634465 -0.4286403819 -0.4713212506 -0.3528152573
117273534.751522 0.8752405253 0.7388783378 0.7800800697 -0.4290180825 -0.4534111777 -0.3305950722
117593921.553552 0.8576995506 0.7223328467 0.7444916739 -0.4312823579 -0.4349692893 -0.3116339354
117914308.355583 0.8413614174 0.7116953315 0.7124166674 -0.4350144422 -0.4160878872 -0.2963975175
118234695.157613 0.8259415661 0.7069076307 0.6843528207 -0.4397208389 -0.3969168084 -0.2852867277
118555081.959644 0.8112973880 0.7077778110 0.6609694449 -0.4448316693 -0.3778219877 -0.2786870117
118875468.761674 0.7973174852 0.7139259477 0.6428022098 -0.4497857880 -0.3592042911 -0.2768204217
119195855.563705 0.7840508650 0.7248252607 0.6303975613 -0.4540449379 -0.3416134048 -0.2797859869
119516242.365735 0.7716864890 0.7398153314 0.6242067353 -0.4571494774 -0.3256781189 -0.2875120847
119836629.167766 0.7605494678 0.7581503374 0.6245533978 -0.4587577370 -0.3120653227 -0.2997574048
120157015.969796 0.7511115417 0.7789975076 0.6315965719 -0.4586734269 -0.3014666701 -0.3160838261
120477402.771826 0.7439075756 0.8016105328 0.6453539557 -0.4568625137 -0.2944901276 -0.3359738840
120797789.573857 0.7395881177 0.8251440056 0.6655834652 -0.4534673158 -0.2917113577 -0.3586673234
121118176.375887 0.7387853425 0.8489081093 0.6918747420 -0.4487907632 -0.2935383609 -0.3833724153
121438563.177918 0.7421187788 0.8723874432 0.7237380421 -0.4432567555 -0.3002505649 -0.4093224333
121758949.979948 0.7501027209 0.8950102825 0.7602688180 -0.4374408693 -0.3118938711 -0.4355352129
122079336.781979 0.7631586509 0.9165376866 0.8006957287 -0.4319406782 -0.3283822979 -0.4612746617
122399723.584009 0.7815500238 0.9367925291 0.8440585187 -0.4273965056 -0.3494314202 -0.4857903233
122720110.386040 0.8052258208 0.9556260680 0.8890997711 -0.4244430004 -0.3744467054 -0.5083136664
123040497.188070 0.8341854612 0.9732008820 0.9350332116 -0.4236167800 -0.4029503094 -0.5284458426
123360883.990101 0.8679593686 0.9895447570 0.9805839825 -0.4253890465 -0.4340622871 -0.5456678085
123681270.792131 0.9058492988 1.0047616802 1.0245663894 -0.4300743859 -0.4668066321 -0.5596469803
124001657.594161 0.9474367032 1.0191380380 1.0663420681 -0.4379246674 -0.5005295321 -0.5703106851
124322044.396192 0.9914290635 1.0326888974 1.1045701932 -0.4489385917 -0.5339434175 -0.5774764617
